correlation,k1,k2,top_X_percent,probability
-0.1,200,7,0.09,0.9791
-0.1,200,7,0.09999999999999999,0.9925
-0.1,200,7,0.11,0.9974
-0.1,200,7,0.12,0.9991
-0.1,200,7,0.13,0.9996
-0.1,200,7,0.14,0.9999
-0.1,200,8,0.01,0.0
-0.1,200,8,0.02,0.0016
-0.1,200,8,0.03,0.0302
-0.1,200,8,0.04,0.1475
-0.1,200,8,0.05,0.3427
-0.1,200,8,0.060000000000000005,0.5857
-0.1,200,8,0.06999999999999999,0.7801
-0.1,200,8,0.08,0.8964
-0.1,200,8,0.09,0.9555
-0.1,200,8,0.09999999999999999,0.9831
-0.1,200,8,0.11,0.9937
-0.1,200,8,0.12,0.9976
-0.1,200,8,0.13,0.9991
-0.1,200,8,0.14,0.9997
-0.1,250,3,0.01,0.1681
-0.1,250,3,0.02,0.6195
-0.1,250,3,0.03,0.876
-0.1,250,3,0.04,0.9714
-0.1,250,3,0.05,0.9934
-0.1,250,3,0.060000000000000005,0.9993
-0.1,250,3,0.06999999999999999,1.0
-0.1,250,3,0.08,1.0
-0.1,250,3,0.09,1.0
-0.1,250,3,0.09999999999999999,1.0
-0.1,250,3,0.11,1.0
-0.1,250,3,0.12,1.0
-0.1,250,3,0.13,1.0
-0.1,250,3,0.14,1.0
-0.1,250,4,0.01,0.0475
-0.1,250,4,0.02,0.3781
-0.1,250,4,0.03,0.7312
-0.1,250,4,0.04,0.9158
-0.1,250,4,0.05,0.9762
-0.1,250,4,0.060000000000000005,0.9952
-0.1,250,4,0.06999999999999999,0.9994
-0.1,250,4,0.08,0.9999
-0.1,250,4,0.09,0.9999
-0.1,250,4,0.09999999999999999,1.0
-0.1,250,4,0.11,1.0
-0.1,250,4,0.12,1.0
-0.1,250,4,0.13,1.0
-0.1,250,4,0.14,1.0
-0.1,250,5,0.01,0.0119
-0.1,250,5,0.02,0.2003
-0.1,250,5,0.03,0.5367
-0.1,250,5,0.04,0.818
-0.1,250,5,0.05,0.9382
-0.1,250,5,0.060000000000000005,0.9837
-0.1,250,5,0.06999999999999999,0.9963
-0.1,250,5,0.08,0.9993
-0.1,250,5,0.09,0.9999
-0.1,250,5,0.09999999999999999,0.9999
-0.1,250,5,0.11,1.0
-0.1,250,5,0.12,1.0
-0.1,250,5,0.13,1.0
-0.1,250,5,0.14,1.0
-0.1,250,6,0.01,0.0016
-0.1,250,6,0.02,0.0878
-0.1,250,6,0.03,0.3505
-0.1,250,6,0.04,0.6736
-0.1,250,6,0.05,0.8684
-0.1,250,6,0.060000000000000005,0.96
-0.1,250,6,0.06999999999999999,0.99
-0.1,250,6,0.08,0.9974
-0.1,250,6,0.09,0.9997
-0.1,250,6,0.09999999999999999,0.9999
-0.1,250,6,0.11,1.0
