correlation,k1,k2,top_X_percent,probability
-0.1,550,6,0.01,0.2366
-0.1,550,6,0.02,0.9156
-0.1,550,6,0.03,0.9966
-0.1,550,6,0.04,1.0
-0.1,550,6,0.05,1.0
-0.1,550,6,0.060000000000000005,1.0
-0.1,550,6,0.06999999999999999,1.0
-0.1,550,6,0.08,1.0
-0.1,550,6,0.09,1.0
-0.1,550,6,0.09999999999999999,1.0
0.0,50,1,0.01,0.386
0.0,50,1,0.02,0.6402
0.0,50,1,0.03,0.7761
0.0,50,1,0.04,0.8694
0.0,50,1,0.05,0.9206
0.0,50,1,0.060000000000000005,0.9539
0.0,50,1,0.06999999999999999,0.9756
0.0,50,1,0.08,0.9859
0.0,50,1,0.09,0.9919
0.0,50,1,0.09999999999999999,0.9955
0.0,50,2,0.01,0.0806
0.0,50,2,0.02,0.2622
0.0,50,2,0.03,0.4367
0.0,50,2,0.04,0.5975
0.0,50,2,0.05,0.7168
0.0,50,2,0.060000000000000005,0.8108
0.0,50,2,0.06999999999999999,0.8754
0.0,50,2,0.08,0.9176
0.0,50,2,0.09,0.9483
0.0,50,2,0.09999999999999999,0.9689
0.0,50,3,0.01,0.0116
0.0,50,3,0.02,0.0751
0.0,50,3,0.03,0.1854
0.0,50,3,0.04,0.317
0.0,50,3,0.05,0.453
0.0,50,3,0.060000000000000005,0.5797
0.0,50,3,0.06999999999999999,0.6824
0.0,50,3,0.08,0.7678
0.0,50,3,0.09,0.836
0.0,50,3,0.09999999999999999,0.8855
0.0,50,4,0.01,0.0012
0.0,50,4,0.02,0.0169
0.0,50,4,0.03,0.0581
0.0,50,4,0.04,0.1396
0.0,50,4,0.05,0.2354
0.0,50,4,0.060000000000000005,0.3458
0.0,50,4,0.06999999999999999,0.4662
0.0,50,4,0.08,0.5661
0.0,50,4,0.09,0.6614
0.0,50,4,0.09999999999999999,0.7412
0.0,50,5,0.01,0.0003
0.0,50,5,0.02,0.0018
0.0,50,5,0.03,0.0144
0.0,50,5,0.04,0.0479
0.0,50,5,0.05,0.0969
0.0,50,5,0.060000000000000005,0.1731
0.0,50,5,0.06999999999999999,0.267
0.0,50,5,0.08,0.3648
0.0,50,5,0.09,0.469
0.0,50,5,0.09999999999999999,0.5619
0.0,50,6,0.01,0.0001
0.0,50,6,0.02,0.0006
0.0,50,6,0.03,0.0032
0.0,50,6,0.04,0.0129
0.0,50,6,0.05,0.0363
0.0,50,6,0.060000000000000005,0.0746
0.0,50,6,0.06999999999999999,0.134
0.0,50,6,0.08,0.203
0.0,50,6,0.09,0.2923
0.0,50,6,0.09999999999999999,0.3784
0.0,150,1,0.01,0.7822
0.0,150,1,0.02,0.9563
0.0,150,1,0.03,0.9904
0.0,150,1,0.04,0.9987
0.0,150,1,0.05,0.9998
0.0,150,1,0.060000000000000005,1.0
0.0,150,1,0.06999999999999999,1.0
0.0,150,1,0.08,1.0
0.0,150,1,0.09,1.0
0.0,150,1,0.09999999999999999,1.0
0.0,150,2,0.01,0.4261
0.0,150,2,0.02,0.8146
0.0,150,2,0.03,0.9416
0.0,150,2,0.04,0.9859
0.0,150,2,0.05,0.9969
